Designator,Mid X,Mid Y,Rotation,Layer
C1,208.026,-149.733,180.0,top
C10,93.218,-149.118,90.0,top
C11,179.598,-137.668,180.0,top
C12,82.56,-106.665,0.0,top
C13,127.274,-130.302,180.0,top
C14,311.638,-172.964,0.0,top
C15,329.926,-172.964,0.0,top
C16,326.37,-109.728,0.0,top
C17,298.43,-109.728,0.0,top
C18,138.176,-101.326,270.0,top
C19,223.286,-141.732,180.0,top
C2,213.086,-173.228,180.0,top
C26,224.536,-128.798,90.0,top
C27,236.23,-120.635,270.0,top
C28,128.25,-107.696,0.0,top
C29,150.602,-161.036,0.0,top
C3,133.37,-160.02,180.0,top
C30,235.458,-102.85,270.0,top
C31,127.234,-138.176,0.0,top
C32,328.676,-125.71,270.0,top
C33,291.084,-126.726,270.0,top
C34,220.746,-164.084,180.0,top
C35,120.62,-115.55,180.0,top
C36,92.71,-106.68,0.0,top
C37,82.52,-115.55,180.0,top
C38,196.088,-152.126,270.0,top
C39,197.378,-137.668,180.0,top
C4,251.46,-152.634,270.0,top
C40,107.92,-115.55,180.0,top
C41,147.31,-96.485,180.0,top
C42,220.746,-152.908,180.0,top
C43,196.596,-96.246,270.0,top
C44,95.22,-115.55,180.0,top
C45,288.036,-126.726,270.0,top
C46,275.062,-172.964,0.0,top
C47,115.316,-166.898,90.0,top
C48,112.927677,-92.695,270.0,top
C49,124.45,-92.695,270.0,top
C5,211.534379,-114.808,0.0,top
C50,213.741,-149.733,0.0,top
C51,293.35,-172.964,0.0,top
C6,218.646379,-114.808,0.0,top
C7,204.422379,-114.808,0.0,top
C8,93.98,-99.695,270.0,top
C9,205.466,-134.62,0.0,top
F1,233.68,-94.605,270.0,top
F2,286.766,-103.881,0.0,top
J1,180.34,-158.2325,270.0,top
J2,176.535,-87.834669,180.0,top
J3,85.885,-89.525,180.0,top
J4,214.62,-89.647,180.0,top
J5,264.15,-90.663,180.0,top
J6,321.31,-96.759,0.0,top
J7,219.705,-173.228,270.0,top
JTAG1,81.0355,-160.02,180.0,top
Q1,202.078,-154.686,90.0,top
Q2,147.32,-89.26,180.0,top
R1,210.566,-155.956,0.0,top
R15,142.24,-92.71,90.0,top
R16,139.192,-92.71,90.0,top
R17,136.144,-92.71,90.0,top
R18,155.448,-92.71,90.0,top
R19,152.4,-92.71,90.0,top
R2,210.566,-159.004,0.0,top
R3,210.566,-152.908,180.0,top
R4,202.438,-165.862,270.0,top
R5,100.32,-92.202,0.0,top
R6,100.32,-95.235,0.0,top
R7,228.605,-114.285,180.0,top
R8,228.605,-118.095,180.0,top
R9,324.612,-128.27,270.0,top
RN1,352.044,-137.683,270.0,top
RN2,251.46,-136.129,90.0,top
RN3,348.488,-153.939,270.0,top
RN4,352.044,-161.559,270.0,top
SW2,204.978,-175.641,180.0,top
U10,235.717,-134.132,90.0,top
U11,318.003,-152.664,180.0,top
U12,299.715,-152.664,180.0,top
U13,340.365,-128.28,90.0,top
U17,141.976,-169.911,0.0,top
U18,99.568,-164.338,90.0,top
U19,92.69,-130.785,0.0,top
U2,210.556,-165.872,90.0,top
U20,105.4,-130.79,0.0,top
U21,118.105,-130.79,0.0,top
U22,130.8,-171.201,0.0,top
U24,143.5,-149.3465,90.0,top
U25,143.505,-134.127,90.0,top
U26,143.5,-118.872,90.0,top
U27,151.115,-103.896,90.0,top
U28,180.35,-147.056,270.0,top
U29,264.165,-114.925,90.0,top
U3,234.427,-156.484,90.0,top
U30,172.217,-118.1,0.0,top
U31,191.013,-118.1,0.0,top
U32,211.567,-105.42,90.0,top
U33,85.79,-100.395,270.0,top
U34,228.59,-105.4,0.0,top
U35,308.605,-128.28,90.0,top
U36,336.54,-116.596,90.0,top
U37,308.605,-116.596,90.0,top
U38,80.0,-130.805,0.0,top
U4,262.641,-152.649,0.0,top
U5,235.717,-145.308,90.0,top
U7,234.427,-167.904,90.0,top
U8,336.291,-152.664,180.0,top
U9,281.427,-152.664,180.0,top
X1,108.712,-105.664,0.0,top
X2,211.836,-125.73,0.0,top
