Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,10n,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C8, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,41,100n,
"C3, C4",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,47p,
"C48, C49",CP_Radial_D10.0mm_P5.00mm,2,470u,
"C5, C6, C7",CP_Radial_D6.3mm_P2.50mm,3,10u,
F1,Fuse_Littelfuse_395Series,1,Fuse,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,IDC-Header_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
J2,DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,DE15_Receptacle_HighDensity_MountingHoles,
J3,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,
J4,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DE9_Plug_MountingHoles,
J5,DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,1,DB25_Receptacle_MountingHoles,
J6,EDGE_2x18,1,Conn_02x18_Top_Bottom,
JP1,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,1,Jumper_3_Bridged12,
JTAG1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"Q1, Q2",TO-92,2,BC547,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1M,
"R10, R11",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,330R,
"R15, R16, R17",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,470R,
"R18, R19",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100R,
"R2, R3, R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,10K,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1K,
"R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4K7,
"RN1, RN3, RN4",R_Array_SIP9,3,4K7x8,
RN2,R_Array_SIP9,1,10Kx8,
SW2,SW_TH_Tactile_Omron_B3F-10xx,1,SW_Omron_B3FS,
U1,DIP-16_W7.62mm,1,74HC163,
"U10, U11, U12, U9",DIP-18_W7.62mm,4,TMS4416,
"U13, U14",DIP-16_W7.62mm,2,74HC157,
"U15, U6",DIP-14_W7.62mm,2,74HC04,
U16,DIP-14_W7.62mm,1,74HC32,
U17,DIP-16_W7.62mm,1,74HC174,
U18,PLCC-44_THT-Socket,1,XC9536,
"U19, U20, U25",DIP-20_W7.62mm,3,74HC574,
U2,DIP-8_W7.62mm,1,NE555,
"U21, U37",DIP-20_W7.62mm,2,74HC245,
U22,DIP-14_W7.62mm,1,74HC02,
"U23, U3",DIP-16_W7.62mm,2,74HC138,
U24,DIP-28_W15.24mm,1,6264,
U26,DIP-28_W15.24mm,1,2764,
U27,DIP-16_W7.62mm,1,74HC166,
"U28, U35, U36",DIP-20_W7.62mm,3,74HC244,
U29,DIP-40_W15.24mm,1,6522,
"U30, U31",DIP-28_W15.24mm,2,6551,
U32,DIP-16_W7.62mm,1,MAX232,
U33,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,
U34,DIP-8_W7.62mm,1,24LC256,
U4,DIP-40_W15.24mm,1,6502,
U5,DIP-28_W15.24mm,1,27128,
U7,DIP-14_W7.62mm,1,74HC00,
U8,DIP-28_W15.24mm,1,62256,
X1,Oscillator_DIP-14,1,ACO-25.175MHz-A,
X2,Oscillator_DIP-14,1,ACO-1.8432MHz-A,
